month,weekday,count
Jan,Monday,0
Jan,Tuesday,1
Jan,Wednesday,2
Jan,Thursday,0
Jan,Friday,0
Jan,Saturday,0
Jan,Sunday,3
Feb,Monday,0
Feb,Tuesday,0
Feb,Wednesday,1
Feb,Thursday,4
Feb,Friday,0
Feb,Saturday,2
Feb,Sunday,1
Mar,Monday,0
Mar,Tuesday,2
Mar,Wednesday,2
Mar,Thursday,0
Mar,Friday,1
Mar,Saturday,1
Mar,Sunday,4
Apr,Monday,2
Apr,Tuesday,1
Apr,Wednesday,2
Apr,Thursday,1
Apr,Friday,1
Apr,Saturday,0
Apr,Sunday,1
May,Monday,1
May,Tuesday,3
May,Wednesday,1
May,Thursday,1
May,Friday,4
May,Saturday,1
May,Sunday,2
Jun,Monday,1
Jun,Tuesday,2
Jun,Wednesday,4
Jun,Thursday,2
Jun,Friday,1
Jun,Saturday,1
Jun,Sunday,2
Jul,Monday,4
Jul,Tuesday,2
Jul,Wednesday,1
Jul,Thursday,4
Jul,Friday,5
Jul,Saturday,4
Jul,Sunday,4
Aug,Monday,4
Aug,Tuesday,3
Aug,Wednesday,5
Aug,Thursday,4
Aug,Friday,3
Aug,Saturday,4
Aug,Sunday,1
Sep,Monday,5
Sep,Tuesday,2
Sep,Wednesday,0
Sep,Thursday,1
Sep,Friday,4
Sep,Saturday,7
Sep,Sunday,4
Oct,Monday,2
Oct,Tuesday,2
Oct,Wednesday,1
Oct,Thursday,1
Oct,Friday,0
Oct,Saturday,6
Oct,Sunday,1
Nov,Monday,6
Nov,Tuesday,4
Nov,Wednesday,2
Nov,Thursday,2
Nov,Friday,3
Nov,Saturday,0
Nov,Sunday,1
Dec,Monday,3
Dec,Tuesday,0
Dec,Wednesday,1
Dec,Thursday,5
Dec,Friday,2
Dec,Saturday,3
Dec,Sunday,0
