country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,year_of_event,independence_from,event_commemorated_and_notes,year,date_mdy,Continent,,,,,,,,,
Afghanistan,8/19/19,Tuesday,19,Aug,Afghan Independence Day (Afghan Victory Day),19-Aug,1919,United Kingdom,"Anglo-Afghan Treaty of 1919 or Treaty of Rawalpindi, an armistice between the United Kingdom and Afghanistan during the Third Anglo-Afghan War[3]",1919,19-Aug-19,Asia,,,,,,,,,
Albania,11/28/12,Thursday,28,Nov,Flag Day (Dita e Flamurit),28-Nov,1912,Ottoman Empire,"Albanian Declaration of Independence. The following day, November 29, is celebrated as the Liberation Day and commemorates the end of the German occupation in 1944.[4]",1912,28-Nov-12,Europe,,,,,,,,,
Algeria,7/5/62,Thursday,5,Jul,Independence Day,5-Jul,1962,France,"Algeria gained independence following the Algerian War and the Algerian independence referendum. France officially recognized independent Algeria on July 3, but the Independence Day is celebrated on July 5, the day of the fall of Algiers in 1830 and the beginning of French Algeria.[5][6]",1962,5-Jul-62,Africa,,,,,,,,,
Andorra,NA,NA,NA,NA,None,,NA,,,NA,,Europe,,,,,,,,,
Angola,11/11/75,Tuesday,11,Nov,Independence Day,11-Nov,1975,Portugal,"The Alvor Agreement, signed on 15 January 1975, granted Angola independence from Portugal on 11 November, ending the Angolan War of Independence.[7]",1975,11-Nov-75,Africa,,,,,,,,,
Antigua and Barbuda,11/1/81,Sunday,1,Nov,Independence Day,1-Nov,1981,United Kingdom,The effective date of the Antigua Termination of Association Order passed by the Parliament of the United Kingdom in July[8][9],1981,1-Nov-81,North America,,,,,,,,,
Argentina,1816-07-09,Tuesday,9,Jul,Independence Day,9-Jul,NA,Spanish Empire,Argentine Declaration of Independence,1816,"July 9, 1816",South America,,,,,,,,,
Armenia,5/28/18,Tuesday,28,May,Republic Day,28-May,NA,Russian Soviet Federative Socialist Republic,Declaration of Independence of Armenia (1918),1918,28-May-18,Asia,,,,,,,,,
Armenia,9/21/91,Saturday,21,Sep,Independence Day,21-Sep,1991,Soviet Union,1991 Armenian independence referendum,1991,21-Sep-91,Asia,,,,,,,,,
Australia,NA,NA,NA,NA,None,,NA,,Australia Day (January 26) commemorates arrival of the First Fleet of British ships and is not an independence day.,NA,,Oceania,,,,,,,,,
